DisasterNumber,State,disasterType,incidentType,Title,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,StateCode,CountyCode,FIPSCode
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,15,f06015
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,57,f06057
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,27,f41027
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,47,f41047
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,7,f41007
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,99,f06099
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,67,f41067
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,23,f06023
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,67,f06067
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,105,f06105
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,13,f41013
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,33,f41033
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,53,f41053
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,3,f53003
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,41,f53041
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,77,f53077
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,31,f16031
91,IN,DR,Flood,FLOOD,1959,1,29,1959,1,29,18,21,f18021
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,63,f16063
187,NV,DR,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING",1965,1,18,1965,1,18,32,29,f32029
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,25,f27025
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,21,f06021
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,63,f06063
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,11,f41011
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,103,f06103
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,31,f41031
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,51,f41051
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,71,f41071
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,39,f53039
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,7,f06007
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,49,f06049
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,3,f41003
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,95,f06095
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,23,f41023
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,43,f41043
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,63,f41063
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,23,f53023
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,75,f53075
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,61,f53061
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,15,f16015
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,49,f16049
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,77,f16077
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,13,f27013
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,41,f27041
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,65,f27065
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,93,f27093
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,147,f27147
189,IN,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,18,67,f18067
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,171,f27171
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,121,f27121
190,MI,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,26,15,f26015
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,3,f06003
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,91,f06091
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,41,f06041
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,115,f06115
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,19,f41019
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,39,f41039
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,13,f53013
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,59,f41059
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,53,f53053
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,45,f16045
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,9,f16009
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,3,f27003
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,73,f16073
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,37,f27037
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,59,f27059
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,91,f27091
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,115,f27115
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,143,f27143
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,165,f27165
189,IN,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,18,53,f18053
189,IN,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,18,179,f18179
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,33,f06033
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,77,f06077
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,109,f06109
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,15,f41015
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,35,f41035
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,55,f41055
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,5,f53005
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,1,f16001
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,67,f16067
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,35,f16035
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,45,f53045
187,NV,DR,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING",1965,1,18,1965,1,18,32,31,f32031
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,33,f27033
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,53,f27053
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,87,f27087
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,139,f27139
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,109,f27109
189,IN,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,18,23,f18023
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,161,f27161
189,IN,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,18,149,f18149
190,MI,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,26,59,f26059
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,5,f06005
