DisasterNumber,State,disasterType,incidentType,Title,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,StateCode,CountyCode,FIPSCode
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,45,f06045
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,93,f06093
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,1,f41001
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,21,f41021
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,41,f41041
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,61,f41061
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,15,f53015
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,59,f53059
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,39,f27039
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,9,f27009
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,75,f16075
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,47,f16047
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,13,f16013
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,63,f27063
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,29,f16029
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,61,f16061
187,NV,DR,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING",1965,1,18,1965,1,18,32,19,f32019
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,49,f27049
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,23,f27023
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,77,f27077
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,103,f27103
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,131,f27131
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,157,f27157
189,IN,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,18,107,f18107
189,IN,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,18,11,f18011
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,61,f06061
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,17,f06017
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,101,f06101
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,11,f06011
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,55,f06055
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,97,f06097
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,5,f41005
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,25,f41025
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,45,f41045
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,65,f41065
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,27,f53027
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,63,f53063
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,19,f16019
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,53,f16053
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,79,f16079
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,15,f27015
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,43,f27043
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,33,f53033
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,69,f53069
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,23,f16023
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,55,f16055
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,87,f16087
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,19,f27019
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,85,f27085
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,119,f27119
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,145,f27145
189,IN,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,18,57,f18057
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,169,f27169
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,49,f41049
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,69,f41069
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,29,f41029
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,9,f41009
190,MI,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,26,5,f26005
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,37,f53037
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,71,f53071
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,25,f16025
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,57,f16057
187,NV,DR,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING",1965,1,18,1965,1,18,32,5,f32005
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,21,f27021
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,73,f27073
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,47,f27047
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,99,f27099
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,67,f27067
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,95,f27095
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,123,f27123
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,173,f27173
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,151,f27151
189,IN,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,18,87,f18087
190,MI,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,26,17,f26017
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,51,f27051
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,107,f27107
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,79,f27079
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,135,f27135
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,159,f27159
189,IN,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,18,17,f18017
189,IN,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,18,141,f18141
190,MI,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,26,57,f26057
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,129,f27129
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,155,f27155
189,IN,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,18,9,f18009
190,MI,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,26,37,f26037
189,IN,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,18,99,f18099
190,MI,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,26,45,f26045
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,35,f06035
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,89,f06089
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,6,113,f06113
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,17,f41017
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,37,f41037
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,45,f27045
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,69,f27069
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,97,f27097
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,127,f27127
189,IN,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,18,91,f18091
189,IN,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,18,1,f18001
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,153,f27153
190,MI,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,26,23,f26023
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,57,f41057
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,11,f53011
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,49,f53049
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,5,f16005
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,39,f16039
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,69,f16069
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,1,f27001
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,35,f27035
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,55,f27055
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,89,f27089
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,111,f27111
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,141,f27141
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,163,f27163
189,IN,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,18,39,f18039
189,IN,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,18,151,f18151
192,WI,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",1965,4,21,1965,4,21,55,63,f55063
191,OH,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,39,147,f39147
190,MI,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,26,77,f26077
191,OH,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,39,41,f39041
192,WI,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",1965,4,21,1965,4,21,55,123,f55123
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,21,f19021
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,49,f19049
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,85,f19085
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,115,f19115
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,141,f19141
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,165,f19165
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,197,f19197
194,IL,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",1965,4,25,1965,4,25,17,195,f17195
195,ND,DR,Flood,FLOODING,1965,5,10,1965,5,10,38,99,f38099
197,SD,DR,Flood,FLOODING,1965,5,26,1965,5,26,46,103,f46103
199,TX,DR,Tornado,TORNADOES & FLOODING,1965,6,19,1965,6,19,48,349,f48349
200,CO,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",1965,6,19,1965,6,19,8,75,f08075
200,CO,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",1965,6,19,1965,6,19,8,125,f08125
201,KS,DR,Flood,FLOODING,1965,6,23,1965,6,23,20,75,f20075
201,KS,DR,Flood,FLOODING,1965,6,23,1965,6,23,20,185,f20185
203,MO,DR,Flood,SEVERE STORMS & FLOODING,1965,7,27,1965,7,27,29,33,f29033
204,NY,DR,Drought,WATER SHORTAGE,1965,8,18,1965,8,18,36,79,f36079
203,MO,DR,Flood,SEVERE STORMS & FLOODING,1965,7,27,1965,7,27,29,159,f29159
205,NJ,DR,Drought,WATER SHORTAGE,1965,8,18,1965,8,18,34,5,f34005
205,NJ,DR,Drought,WATER SHORTAGE,1965,8,18,1965,8,18,34,25,f34025
206,PA,DR,Drought,WATER SHORTAGE,1965,8,18,1965,8,18,42,107,f42107
206,PA,DR,Drought,WATER SHORTAGE,1965,8,18,1965,8,18,42,17,f42017
209,FL,DR,Hurricane,HURRICANE BETSY,1965,9,14,1965,9,14,12,11,f12011
210,MS,DR,Hurricane,HURRICANE BETSY,1965,9,25,1965,9,25,28,157,f28157
210,MS,DR,Hurricane,HURRICANE BETSY,1965,9,25,1965,9,25,28,1,f28001
214,GA,DR,Flood,FLOODING,1966,3,14,1966,3,14,13,153,f13153
214,GA,DR,Flood,FLOODING,1966,3,14,1966,3,14,13,279,f13279
215,MN,DR,Flood,FLOODING,1966,3,22,1966,3,22,27,35,f27035
190,MI,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,26,81,f26081
191,OH,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,39,63,f39063
191,OH,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,39,149,f39149
192,WI,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",1965,4,21,1965,4,21,55,67,f55067
192,WI,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",1965,4,21,1965,4,21,55,127,f55127
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,23,f19023
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,57,f19057
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,91,f19091
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,143,f19143
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,119,f19119
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,167,f19167
194,IL,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",1965,4,25,1965,4,25,17,1,f17001
200,CO,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",1965,6,19,1965,6,19,8,35,f08035
198,MO,DR,Severe Storm(s),FLOODING,1965,6,14,1965,6,14,29,45,f29045
195,ND,DR,Flood,FLOODING,1965,5,10,1965,5,10,38,3,f38003
199,TX,DR,Tornado,TORNADOES & FLOODING,1965,6,19,1965,6,19,48,401,f48401
196,WA,DR,Earthquake,EARTHQUAKE,1965,5,11,1965,5,11,53,33,f53033
200,CO,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",1965,6,19,1965,6,19,8,87,f08087
201,KS,DR,Flood,FLOODING,1965,6,23,1965,6,23,20,9,f20009
201,KS,DR,Flood,FLOODING,1965,6,23,1965,6,23,20,79,f20079
201,KS,DR,Flood,FLOODING,1965,6,23,1965,6,23,20,187,f20187
203,MO,DR,Flood,SEVERE STORMS & FLOODING,1965,7,27,1965,7,27,29,47,f29047
203,MO,DR,Flood,SEVERE STORMS & FLOODING,1965,7,27,1965,7,27,29,165,f29165
205,NJ,DR,Drought,WATER SHORTAGE,1965,8,18,1965,8,18,34,7,f34007
205,NJ,DR,Drought,WATER SHORTAGE,1965,8,18,1965,8,18,34,27,f34027
206,PA,DR,Drought,WATER SHORTAGE,1965,8,18,1965,8,18,42,25,f42025
206,PA,DR,Drought,WATER SHORTAGE,1965,8,18,1965,8,18,42,127,f42127
209,FL,DR,Hurricane,HURRICANE BETSY,1965,9,14,1965,9,14,12,21,f12021
210,MS,DR,Hurricane,HURRICANE BETSY,1965,9,25,1965,9,25,28,5,f28005
211,CA,DR,Flood,HEAVY RAINS & FLOODING,1965,12,7,1965,12,7,6,65,f06065
214,GA,DR,Flood,FLOODING,1966,3,14,1966,3,14,13,7,f13007
214,GA,DR,Flood,FLOODING,1966,3,14,1966,3,14,13,283,f13283
214,GA,DR,Flood,FLOODING,1966,3,14,1966,3,14,13,163,f13163
190,MI,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,26,91,f26091
191,OH,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,39,161,f39161
191,OH,DR,Tornado,TORNADOES & SEVERE STORMS,1965,4,14,1965,4,14,39,67,f39067
192,WI,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",1965,4,21,1965,4,21,55,73,f55073
192,WI,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",1965,4,21,1965,4,21,55,129,f55129
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,27,f19027
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,59,f19059
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,93,f19093
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,123,f19123
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,145,f19145
193,IA,DR,Flood,FLOODING,1965,4,22,1965,4,22,19,171,f19171
194,IL,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",1965,4,25,1965,4,25,17,15,f17015
195,ND,DR,Flood,FLOODING,1965,5,10,1965,5,10,38,17,f38017
200,CO,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",1965,6,19,1965,6,19,8,89,f08089
203,MO,DR,Flood,SEVERE STORMS & FLOODING,1965,7,27,1965,7,27,29,177,f29177
198,MO,DR,Severe Storm(s),FLOODING,1965,6,14,1965,6,14,29,111,f29111
201,KS,DR,Flood,FLOODING,1965,6,23,1965,6,23,20,93,f20093
196,WA,DR,Earthquake,EARTHQUAKE,1965,5,11,1965,5,11,53,35,f53035
